,L (cm),Err L (mm),Dial (init) (mm),R (init) (kOhm),Dial (final) (mm),Err Dial (mm),R (final) (kOhm),T (init) (C ),T (final) (C ),Err T (C )
Aluminium Tube,70.6,1,0,99.8,1.17,0.01,8.8,25.89,85.89,0.3
Copper Tube,70.3,1,0,96.8,0.82,0.01,8.1,25.55,88.35,0.3
