Circut,V1 (V),V2 (V),I1 (mA),I2 (mA),VT (V),V Error (V),I Error (mA)
Series,2.55,0.48,26,26,3.17,0.01275,0.312
Parallel,2.91,2.91,29.2,138.6,0,0.01455,1.6632
